frame_id,object_id,class,x1,y1,x2,y2,velocity_m_s
51,63,Car,828,298,859,321,3.600
51,64,Car,305,291,327,303,19.209
52,1,Car,528,293,560,315,0.606
52,2,Car,670,288,698,307,1.355
52,64,Car,301,290,324,303,19.500
52,12,Car,819,297,863,321,8.246
53,1,Car,529,294,559,315,0.958
53,2,Car,670,289,698,308,1.286
53,64,Car,298,292,321,305,19.362
53,12,Car,818,297,864,322,7.454
54,1,Car,529,294,560,316,0.857
54,2,Car,671,289,698,308,0.958
54,64,Car,293,293,318,306,20.257
54,12,Car,817,297,864,323,6.083
55,1,Car,529,296,559,316,1.767
55,2,Car,671,290,698,309,1.355
55,64,Car,290,293,314,307,21.157
55,12,Car,817,297,864,323,5.426
56,1,Car,529,297,559,316,2.185
56,2,Car,671,290,699,310,2.185
56,64,Car,285,294,310,308,22.195
56,12,Car,817,296,867,324,6.083
56,69,Car,199,299,230,316,4.301
57,1,Car,529,297,558,316,2.711
57,2,Car,671,290,698,310,2.185
57,64,Car,279,294,307,309,23.115
57,12,Car,818,296,868,323,6.342
57,69,Car,192,300,223,317,4.243
58,1,Car,529,298,558,317,3.120
58,2,Car,672,291,699,310,2.875
58,64,Car,274,294,302,310,24.380
58,12,Car,821,298,869,324,7.126
59,1,Car,528,297,558,316,2.308
59,2,Car,672,291,699,310,2.875
59,64,Car,268,294,297,310,26.143
59,12,Car,821,298,868,323,3.264
60,1,Car,529,297,558,316,1.767
60,2,Car,672,291,698,310,1.917
60,64,Car,263,294,292,310,27.592
60,12,Car,822,298,869,323,3.951
60,90,Car,0,298,81,330,0.000
61,1,Car,529,298,558,316,1.917
61,2,Car,673,292,698,310,2.308
61,64,Car,258,295,286,310,28.829
61,12,Car,824,299,871,324,6.136
61,95,Car,134,297,183,320,0.000
62,1,Car,529,298,558,316,0.958
62,2,Car,674,292,699,310,2.143
62,64,Car,252,294,280,310,30.905
62,95,Car,125,297,174,319,54.083
63,1,Car,529,298,559,316,0.429
63,2,Car,674,292,699,310,1.545
63,64,Car,246,295,274,310,32.169
63,12,Car,835,301,879,324,12.516
64,1,Car,529,298,559,316,0.606
64,2,Car,673,292,698,310,1.212
64,64,Car,238,294,268,310,34.288
64,103,Car,319,292,350,308,0.000
64,63,Car,832,298,869,323,3.350
65,1,Car,530,299,559,317,0.958
65,2,Car,673,292,699,311,0.958
65,64,Car,232,293,262,310,35.145
65,103,Car,317,293,347,308,15.297
65,63,Car,832,297,871,323,3.477
66,1,Car,530,299,559,317,1.818
66,2,Car,672,292,699,311,0.857
66,63,Car,832,296,874,323,3.789
67,1,Car,531,300,559,317,2.143
67,2,Car,672,293,699,312,1.767
67,63,Car,831,296,873,323,3.477
67,90,Car,23,304,88,329,13.034
67,64,Car,215,294,250,313,37.517
68,1,Car,531,301,559,317,2.143
68,2,Car,673,293,699,312,1.355
68,63,Car,832,297,875,324,3.331
68,108,Car,85,300,119,317,0.000
68,109,Car,828,298,856,323,0.000
68,90,Car,5,305,71,330,3.226
68,64,Car,207,296,243,315,39.462
68,12,Car,843,299,888,325,11.792
69,1,Car,531,301,559,318,2.499
69,2,Car,673,294,700,313,2.143
69,63,Car,833,297,878,324,3.951
69,108,Car,78,300,109,316,51.088
69,109,Car,829,299,858,323,9.487
69,90,Car,0,304,57,331,8.333
69,64,Car,199,296,236,316,40.959
70,1,Car,531,301,559,318,2.308
70,2,Car,673,294,700,313,2.143
70,63,Car,834,297,881,325,4.446
70,108,Car,68,300,99,316,55.520
71,1,Car,531,301,559,318,2.308
71,2,Car,673,294,701,313,2.499
71,63,Car,835,296,883,325,7.286
71,108,Car,60,301,90,316,54.000
71,64,Car,183,297,220,317,43.129
72,1,Car,531,302,559,318,1.767
72,2,Car,673,294,701,314,2.308
72,63,Car,835,296,885,326,7.336
72,108,Car,50,301,82,317,54.005
73,1,Car,531,302,559,318,1.767
73,2,Car,673,294,701,314,2.499
73,63,Car,837,297,887,326,7.902
73,108,Car,37,302,74,320,55.881
73,12,Car,848,298,894,325,10.527
74,1,Car,531,302,560,318,1.355
74,2,Car,674,294,703,315,3.090
74,63,Car,836,297,887,326,8.321
74,108,Car,25,303,65,323,57.177
75,1,Car,531,302,559,318,0.857
75,2,Car,674,294,704,315,3.090
75,63,Car,837,297,888,326,7.762
75,108,Car,15,303,54,323,57.986
75,109,Car,834,299,863,324,5.637
76,1,Car,531,302,559,318,0.429
76,2,Car,675,294,704,315,2.711
76,63,Car,838,297,890,327,7.398
76,108,Car,3,304,45,324,59.793
76,109,Car,838,299,870,325,9.070
77,1,Car,531,302,559,318,0.429
77,2,Car,675,295,704,315,2.875
77,63,Car,838,297,892,327,6.485
77,108,Car,0,304,38,325,55.566
78,1,Car,531,302,559,318,0.429
78,2,Car,676,295,704,315,2.875
78,63,Car,840,297,893,326,6.485
78,108,Car,0,304,32,326,50.877
78,95,Car,74,298,136,327,18.935
79,1,Car,531,302,559,318,0.000
79,2,Car,675,295,704,315,2.308
79,63,Car,841,297,894,326,6.443
79,95,Car,62,298,124,328,21.885
80,1,Car,531,302,559,318,0.000
80,2,Car,675,295,704,314,2.185
80,95,Car,42,298,105,328,26.880
81,1,Car,531,302,559,317,0.606
81,2,Car,676,295,704,314,1.286
81,95,Car,21,299,86,329,31.543
81,63,Car,843,297,896,327,5.637
82,1,Car,530,302,559,318,0.429
82,2,Car,676,295,705,314,1.286
82,95,Car,2,298,70,330,35.035
82,63,Car,843,297,898,327,6.760
83,1,Car,530,302,559,318,0.429
83,2,Car,677,295,705,314,1.286
83,95,Car,0,297,54,331,35.895
83,63,Car,848,297,902,327,9.382
84,1,Car,530,302,559,318,0.429
84,2,Car,677,295,706,314,1.767
84,63,Car,847,296,904,327,8.633
85,1,Car,530,302,559,318,0.429
